"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2010_004107_PGD_(0.05, 0.0025, 20).png","0.8835","0.9380","30.6681","0.3921","0.9924","0.9733","0.0321","0.0392","0.8985","0.2567","36.1000"
"2010_004107_PGD_(0.05, 0.005, 10).png","0.8738","0.9333","30.5544","0.3811","0.9912","0.9693","0.0370","0.0439","0.8870","0.2664","38.4877"
"2010_004107_PGD_(0.1, 0.005, 20).png","0.6839","0.8284","24.7562","0.2137","0.9708","0.9129","0.0933","0.0982","0.7315","0.3575","64.1503"
"2010_004107_PGD_(0.1, 0.01, 10).png","0.6659","0.8171","24.6451","0.2067","0.9676","0.9026","0.1042","0.1070","0.7099","0.3700","66.4480"
"2010_004107_PGD_(0.2, 0.01, 20).png","0.4142","0.6433","19.1061","0.1043","0.9136","0.7900","0.1878","0.1791","0.5155","0.4709","93.5388"
"2010_004107_PGD_(0.2, 0.02, 10).png","0.3905","0.6220","18.9903","0.0959","0.9039","0.7653","0.2024","0.1909","0.4842","0.4867","96.5714"
"2010_004107_PGD_(0.3, 0.015, 20).png","0.2807","0.5228","16.1047","0.0639","0.8592","0.6896","0.2422","0.2251","0.3950","0.5453","111.3319"
"2010_004107_PGD_(0.3, 0.03, 10).png","0.2620","0.5019","16.0165","0.0589","0.8491","0.6683","0.2510","0.2323","0.3776","0.5591","113.7719"
"2010_004145_PGD_(0.05, 0.0025, 20).png","0.8667","0.9288","30.6761","0.3739","0.9934","0.9646","0.0365","0.0431","0.8959","0.2657","44.4698"
"2010_004145_PGD_(0.05, 0.005, 10).png","0.8560","0.9234","30.5799","0.3655","0.9926","0.9598","0.0428","0.0485","0.8834","0.2781","47.3484"
"2010_004145_PGD_(0.1, 0.005, 20).png","0.6523","0.8084","24.7688","0.2119","0.9769","0.8882","0.1032","0.1061","0.7281","0.3706","75.7524"
"2010_004145_PGD_(0.1, 0.01, 10).png","0.6343","0.7966","24.6686","0.2053","0.9738","0.8781","0.1143","0.1149","0.7051","0.3837","78.3003"
"2010_004145_PGD_(0.2, 0.01, 20).png","0.3852","0.6175","18.8986","0.1080","0.9289","0.7470","0.2031","0.1912","0.5020","0.4902","105.6738"
"2010_004145_PGD_(0.2, 0.02, 10).png","0.3656","0.5971","18.7730","0.1028","0.9203","0.7237","0.2178","0.2035","0.4736","0.5071","107.4948"
"2010_004145_PGD_(0.3, 0.015, 20).png","0.2588","0.4948","15.4993","0.0682","0.8788","0.6326","0.2578","0.2385","0.3797","0.5724","121.3271"
"2010_004145_PGD_(0.3, 0.03, 10).png","0.2434","0.4742","15.3902","0.0644","0.8666","0.6063","0.2689","0.2490","0.3549","0.5907","123.9969"
"2010_004223_PGD_(0.05, 0.0025, 20).png","0.8463","0.9168","30.6422","0.2798","0.9913","0.9542","0.0405","0.0471","0.8906","0.2762","41.4912"
"2010_004223_PGD_(0.05, 0.005, 10).png","0.8336","0.9104","30.5487","0.2711","0.9896","0.9464","0.0467","0.0527","0.8738","0.2887","44.5624"
