"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2008_001810_GAP_(u, t, 30).png","0.6479","0.8854","21.3792","0.2787","0.9610","0.8950","0.1527","0.1556","0.6093","0.4064","95.2440"
"2008_001810_GAP_(u, t, 5).png","0.9722","0.9946","36.7420","0.7711","0.9980","0.9943","0.0139","0.0155","0.9656","0.1902","12.5775"
"2008_001813_GAP_(i, u, 10).png","0.7307","0.9493","29.4324","0.4314","0.9996","0.9993","0.0023","0.0547","0.8067","0.1330","33.2210"
"2008_001813_GAP_(i, u, 20).png","0.4965","0.8778","23.9394","0.2936","0.9980","0.9914","0.0208","0.0845","0.7028","0.2289","54.2926"
"2008_001813_GAP_(i, u, 30).png","0.3701","0.8350","20.1485","0.2592","0.9786","0.9783","0.0133","0.0849","0.6176","0.3676","58.6744"
"2008_001813_GAP_(i, u, 5).png","0.9007","0.9899","35.3029","0.6007","1.0000","0.9999","0.0003","0.0082","0.9990","0.0702","3.8693"
"2008_001813_GAP_(u, t, 10).png","0.8335","0.9471","31.0901","0.4868","0.9893","0.9661","0.0629","0.0656","0.8552","0.3013","48.2353"
"2008_001813_GAP_(u, t, 20).png","0.6024","0.8312","24.3795","0.2553","0.9573","0.8908","0.1522","0.1565","0.6378","0.4118","90.1737"
"2008_001813_GAP_(u, t, 30).png","0.4776","0.7779","21.3053","0.1931","0.9449","0.8530","0.1848","0.1885","0.5529","0.4521","104.3856"
"2008_001813_GAP_(u, t, 5).png","0.9463","0.9860","36.7325","0.7127","0.9971","0.9914","0.0197","0.0214","0.9593","0.2134","20.1055"
"2008_001815_GAP_(i, u, 10).png","0.7288","0.9437","29.7194","0.4740","0.9991","0.9977","0.0078","0.0630","0.8129","0.1592","46.7765"
"2008_001815_GAP_(i, u, 20).png","0.5256","0.8832","24.2176","0.3412","0.9970","0.9895","0.0301","0.0962","0.6985","0.2433","71.1850"
"2008_001815_GAP_(i, u, 30).png","0.4389","0.8551","20.7970","0.3166","0.9880","0.9748","0.0264","0.0982","0.6276","0.3306","80.7787"
"2008_001815_GAP_(i, u, 5).png","0.8883","0.9875","35.4187","0.6219","0.9998","0.9995","0.0015","0.0098","0.9980","0.1019","8.4370"
"2008_001815_GAP_(u, t, 10).png","0.8245","0.9471","31.4316","0.5209","0.9880","0.9636","0.0712","0.0709","0.8634","0.3176","54.0778"
"2008_001815_GAP_(u, t, 20).png","0.6147","0.8478","24.8424","0.3072","0.9499","0.8833","0.1807","0.1766","0.6478","0.4455","93.6389"
"2008_001815_GAP_(u, t, 30).png","0.5070","0.8045","21.8432","0.2484","0.9407","0.8485","0.2093","0.2045","0.5694","0.4781","106.3218"
"2008_001815_GAP_(u, t, 5).png","0.9379","0.9851","36.9832","0.7257","0.9969","0.9905","0.0209","0.0223","0.9597","0.2207","27.2353"
"2008_001820_GAP_(i, u, 10).png","0.7766","0.9564","29.9945","0.5266","0.9990","0.9965","0.0113","0.0611","0.8428","0.1667","37.5252"
"2008_001820_GAP_(i, u, 20).png","0.5673","0.8976","24.0886","0.3728","0.9968","0.9876","0.0326","0.0991","0.7039","0.2459","58.7483"
"2008_001820_GAP_(i, u, 30).png","0.4911","0.8824","20.6590","0.3556","0.9736","0.9592","0.0338","0.1002","0.4585","0.3889","64.1194"
"2008_001820_GAP_(i, u, 5).png","0.9035","0.9897","35.3050","0.6524","0.9999","0.9997","0.0009","0.0103","0.9964","0.0864","7.4464"
"2008_001820_GAP_(u, t, 10).png","0.8468","0.9553","31.1946","0.5554","0.9874","0.9627","0.0786","0.0781","0.8304","0.3270","48.9407"
"2008_001820_GAP_(u, t, 20).png","0.6548","0.8709","24.5299","0.3379","0.9486","0.8824","0.1899","0.1859","0.5900","0.4548","85.1025"
"2008_001820_GAP_(u, t, 30).png","0.5498","0.8306","21.5319","0.2740","0.9374","0.8491","0.2204","0.2153","0.4974","0.4906","97.8615"
"2008_001820_GAP_(u, t, 5).png","0.9492","0.9877","36.8195","0.7509","0.9968","0.9903","0.0242","0.0253","0.9498","0.2270","23.8343"
"2008_001821_GAP_(i, u, 10).png","0.6486","0.9263","29.6279","0.3690","0.9993","0.9969","0.0122","0.0614","0.7722","0.1633","44.7017"
"2008_001821_GAP_(i, u, 20).png","0.3851","0.8174","23.9946","0.2371","0.9973","0.9868","0.0341","0.0889","0.6400","0.2493","67.5953"
"2008_001821_GAP_(i, u, 30).png","0.2916","0.8008","20.6353","0.2126","0.9792","0.9727","0.0196","0.0846","0.5497","0.3657","72.1497"
"2008_001821_GAP_(i, u, 5).png","0.8516","0.9827","35.1874","0.5215","1.0000","0.9998","0.0007","0.0102","0.9971","0.0847","5.4080"
"2008_001821_GAP_(u, t, 10).png","0.7676","0.9265","31.1519","0.4053","0.9850","0.9449","0.0767","0.0771","0.7998","0.3300","58.8958"
"2008_001821_GAP_(u, t, 20).png","0.4999","0.7842","24.4839","0.1956","0.9389","0.8284","0.1854","0.1823","0.5483","0.4550","96.2288"
"2008_001821_GAP_(u, t, 30).png","0.3723","0.7209","21.4214","0.1487","0.9271","0.7782","0.2156","0.2111","0.4580","0.4915","108.4470"
"2008_001821_GAP_(u, t, 5).png","0.9182","0.9793","36.7363","0.6447","0.9959","0.9855","0.0254","0.0263","0.9390","0.2350","29.2492"
"2008_001829_GAP_(i, u, 10).png","0.7563","0.9543","29.2441","0.4012","0.9995","0.9976","0.0067","0.0512","0.8006","0.1415","28.0310"
"2008_001829_GAP_(i, u, 20).png","0.5298","0.8838","24.0908","0.2523","0.9982","0.9927","0.0125","0.0770","0.6982","0.1925","51.5755"
"2008_001829_GAP_(i, u, 30).png","0.3723","0.8420","20.0583","0.2004","0.9823","0.9785","0.0083","0.0714","0.7205","0.3023","42.8258"
"2008_001829_GAP_(i, u, 5).png","0.9161","0.9907","35.2683","0.5725","1.0000","0.9999","0.0003","0.0074","0.9982","0.0724","0.0000"
"2008_001829_GAP_(u, t, 10).png","0.8545","0.9395","31.0894","0.4519","0.9910","0.9677","0.0541","0.0591","0.8291","0.2888","54.4584"
"2008_001829_GAP_(u, t, 20).png","0.6354","0.8019","24.3837","0.2115","0.9618","0.8845","0.1401","0.1482","0.5894","0.3953","100.9084"
"2008_001829_GAP_(u, t, 30).png","0.5071","0.7290","21.3045","0.1554","0.9544","0.8476","0.1688","0.1779","0.5005","0.4280","117.8478"
"2008_001829_GAP_(u, t, 5).png","0.9553","0.9842","36.7296","0.6932","0.9976","0.9917","0.0170","0.0192","0.9504","0.2067","19.1792"
"2008_001832_GAP_(i, u, 10).png","0.6775","0.9310","29.7920","0.3658","0.9992","0.9964","0.0128","0.0588","0.7848","0.1685","38.1640"
"2008_001832_GAP_(i, u, 20).png","0.3960","0.8225","23.7435","0.2316","0.9974","0.9856","0.0311","0.0868","0.6551","0.2547","63.7688"
"2008_001832_GAP_(i, u, 30).png","0.3141","0.8126","20.0804","0.2211","0.9705","0.9627","0.0208","0.0775","0.4440","0.3985","68.8918"
"2008_001832_GAP_(i, u, 5).png","0.8614","0.9833","35.0973","0.5161","0.9999","0.9998","0.0005","0.0091","0.9974","0.0762","3.1760"
"2008_001832_GAP_(u, t, 10).png","0.7885","0.9252","31.1247","0.3999","0.9885","0.9494","0.0699","0.0712","0.8062","0.3189","51.4556"
"2008_001832_GAP_(u, t, 20).png","0.5191","0.7718","24.4474","0.1877","0.9494","0.8339","0.1807","0.1802","0.5422","0.4494","97.7335"
"2008_001832_GAP_(u, t, 30).png","0.3879","0.7045","21.4084","0.1380","0.9394","0.7867","0.2112","0.2094","0.4525","0.4859","111.9855"
"2008_001832_GAP_(u, t, 5).png","0.9304","0.9799","36.7640","0.6460","0.9969","0.9862","0.0220","0.0229","0.9407","0.2258","21.8651"
"2008_001841_GAP_(i, u, 10).png","0.6420","0.9254","29.6217","0.3470","0.9993","0.9973","0.0090","0.0586","0.7957","0.1601","38.6172"
"2008_001841_GAP_(i, u, 20).png","0.3766","0.8187","24.0226","0.2253","0.9974","0.9836","0.0338","0.0866","0.6724","0.2581","68.3104"
"2008_001841_GAP_(i, u, 30).png","0.2966","0.8115","20.6078","0.2198","0.9883","0.9682","0.0280","0.0839","0.5688","0.3436","80.2320"
"2008_001841_GAP_(i, u, 5).png","0.8513","0.9832","35.2375","0.5058","0.9999","0.9998","0.0006","0.0093","0.9984","0.0848","0.0000"
"2008_001841_GAP_(u, t, 10).png","0.7618","0.9249","31.1835","0.3874","0.9887","0.9507","0.0703","0.0723","0.8212","0.3195","47.1987"
"2008_001841_GAP_(u, t, 20).png","0.4829","0.7807","24.5880","0.1825","0.9511","0.8429","0.1723","0.1725","0.5840","0.4390","95.2846"
"2008_001841_GAP_(u, t, 30).png","0.3520","0.7178","21.5315","0.1359","0.9418","0.7979","0.2011","0.2013","0.5032","0.4730","110.1093"
"2008_001841_GAP_(u, t, 5).png","0.9168","0.9791","36.7635","0.6307","0.9969","0.9869","0.0222","0.0235","0.9480","0.2262","16.1270"
"2008_001850_GAP_(i, u, 10).png","0.6391","0.9204","29.6519","0.3465","0.9991","0.9965","0.0111","0.0601","0.7642","0.1639","47.2954"
"2008_001850_GAP_(i, u, 20).png","0.3710","0.8108","23.8300","0.2164","0.9973","0.9870","0.0254","0.0889","0.6276","0.2437","72.7764"
"2008_001850_GAP_(i, u, 30).png","0.2881","0.7907","20.4864","0.1967","0.9828","0.9682","0.0269","0.0899","0.4503","0.3785","80.2805"
"2008_001850_GAP_(i, u, 5).png","0.8444","0.9815","35.1762","0.4910","0.9999","0.9996","0.0011","0.0098","0.9967","0.0871","0.0000"
"2008_001850_GAP_(u, t, 10).png","0.7633","0.9206","31.2489","0.3767","0.9861","0.9400","0.0728","0.0742","0.7860","0.3234","61.1279"
"2008_001850_GAP_(u, t, 20).png","0.4939","0.7610","24.6637","0.1749","0.9420","0.8108","0.1841","0.1821","0.5049","0.4529","104.8493"
"2008_001850_GAP_(u, t, 30).png","0.3726","0.6983","21.6635","0.1297","0.9311","0.7640","0.2115","0.2077","0.4224","0.4855","118.6171"
"2008_001850_GAP_(u, t, 5).png","0.9200","0.9786","36.8831","0.6220","0.9964","0.9842","0.0220","0.0236","0.9334","0.2275","26.8097"
"2008_001856_GAP_(i, u, 10).png","0.6043","0.9118","29.5148","0.3233","0.9993","0.9963","0.0132","0.0631","0.7879","0.1690","46.0676"
"2008_001856_GAP_(i, u, 20).png","0.3330","0.8054","23.7136","0.2063","0.9975","0.9864","0.0305","0.0871","0.6701","0.2442","65.1185"
"2008_001856_GAP_(i, u, 30).png","0.2661","0.7851","20.2317","0.1965","0.9789","0.9650","0.0227","0.0807","0.5654","0.3580","72.3344"
"2008_001856_GAP_(i, u, 5).png","0.8299","0.9794","35.1078","0.4673","1.0000","0.9998","0.0006","0.0102","0.9977","0.0814","11.4220"
"2008_001856_GAP_(u, t, 10).png","0.7399","0.9069","31.1028","0.3555","0.9854","0.9427","0.0845","0.0853","0.8035","0.3394","67.1882"
"2008_001856_GAP_(u, t, 20).png","0.4558","0.7360","24.4754","0.1672","0.9360","0.8231","0.2027","0.2011","0.5413","0.4714","104.8639"
"2008_001856_GAP_(u, t, 30).png","0.3331","0.6733","21.4713","0.1254","0.9237","0.7769","0.2309","0.2281","0.4595","0.5039","117.1584"
"2008_001856_GAP_(u, t, 5).png","0.9114","0.9743","36.7351","0.5941","0.9963","0.9844","0.0253","0.0268","0.9447","0.2340","38.1277"
"2008_001865_GAP_(i, u, 10).png","0.7974","0.9636","29.5483","0.4858","0.9995","0.9983","0.0096","0.0542","0.8141","0.1525","34.5687"
"2008_001865_GAP_(i, u, 20).png","0.5944","0.9084","23.9188","0.3344","0.9980","0.9924","0.0225","0.0865","0.6962","0.2226","54.1568"
"2008_001865_GAP_(i, u, 30).png","0.4914","0.8805","20.5385","0.2994","0.9805","0.9755","0.0173","0.0901","0.6383","0.3611","62.9607"
