file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi,mad
"2007_002088_NES-pi_(0.3,20,0.001).png",0.6927,0.8846,26.1701,0.3797,0.9762,0.9322,0.0764,0.0774,0.709,0.3305,51.7203
"2007_002088_NES-ql_(0.001,0.05,0.9,10000).png",0.8968,0.968,33.0657,0.6257,0.993,0.9789,0.0277,0.0287,0.8883,0.2433,11.8734
"2007_002088_NES-ql_(0.001,0.1,0.9,1000).png",0.6224,0.8534,25.4034,0.3279,0.9685,0.9168,0.0923,0.0931,0.658,0.3534,51.9304
"2007_002088_NES-ql_(1e-05,0.05,0.9,1000).png",0.8436,0.9499,30.9443,0.5446,0.9893,0.9685,0.04,0.0411,0.8398,0.2707,19.0904
"2007_002094_NES-pi_(0.1,20,0.001).png",0.3814,0.706,25.6025,0.1624,0.9458,0.8082,0.1539,0.1446,0.5766,0.4301,89.9873
"2007_002094_NES-pi_(0.2,20,0.001).png",0.726,0.9023,32.3914,0.3738,0.9868,0.942,0.0559,0.055,0.8288,0.3049,50.2982
"2007_002094_NES-pi_(0.3,20,0.001).png",0.3848,0.7056,25.2476,0.1624,0.9464,0.8072,0.154,0.145,0.5751,0.43,90.0131
"2007_002094_NES-ql_(0.001,0.05,0.9,10000).png",0.7527,0.9137,33.118,0.403,0.9885,0.9493,0.0493,0.0487,0.8489,0.2943,45.8969
"2007_002094_NES-ql_(0.001,0.1,0.9,1000).png",0.3411,0.6762,24.9949,0.1492,0.9357,0.7859,0.1692,0.1583,0.5474,0.4468,89.5731
"2007_002094_NES-ql_(1e-05,0.05,0.9,1000).png",0.6375,0.8636,30.6954,0.3089,0.9798,0.9174,0.0754,0.0731,0.7748,0.3351,58.0877
"2007_002099_NES-pi_(0.1,20,0.001).png",0.4868,0.7647,26.097,0.2347,0.9483,0.8347,0.1529,0.1424,0.6018,0.4288,81.1074
"2007_002099_NES-pi_(0.2,20,0.001).png",0.7428,0.9053,31.9014,0.4259,0.9847,0.9411,0.065,0.0627,0.8174,0.3192,46.7682
"2007_002099_NES-pi_(0.3,20,0.001).png",0.4844,0.7635,26.1758,0.2341,0.9484,0.8343,0.154,0.1434,0.6008,0.4302,80.4954
"2007_002099_NES-ql_(0.001,0.05,0.9,10000).png",0.7915,0.9256,33.1864,0.4767,0.9886,0.9551,0.0506,0.0494,0.8583,0.2955,39.68
"2007_002099_NES-ql_(0.001,0.1,0.9,1000).png",0.4393,0.7336,25.3439,0.2143,0.9376,0.8098,0.1731,0.1603,0.561,0.4508,84.1137
"2007_002099_NES-ql_(1e-05,0.05,0.9,1000).png",0.6982,0.8855,30.8813,0.3886,0.9806,0.9274,0.0775,0.0743,0.7858,0.338,52.3431
"2007_002293_NES-pi_(0.1,20,0.001).png",0.551,0.823,25.8401,0.3231,0.9584,0.9004,0.1429,0.134,0.6804,0.4099,71.1597
"2007_002293_NES-pi_(0.2,20,0.001).png",0.799,0.9349,32.0115,0.5402,0.9884,0.9675,0.0554,0.0539,0.871,0.2978,39.6239
"2007_002293_NES-pi_(0.3,20,0.001).png",0.5631,0.8287,25.862,0.3292,0.9607,0.905,0.1387,0.1303,0.6889,0.4052,72.7182
"2007_002293_NES-ql_(0.001,0.05,0.9,10000).png",0.8282,0.9455,32.9296,0.5739,0.9906,0.9738,0.0457,0.045,0.8915,0.2815,35.1389
"2007_002293_NES-ql_(0.001,0.1,0.9,1000).png",0.52,0.8077,25.3063,0.3023,0.9523,0.8893,0.1561,0.1458,0.6549,0.424,74.3311
"2007_002293_NES-ql_(1e-05,0.05,0.9,1000).png",0.7617,0.9209,31.0144,0.5017,0.9855,0.9612,0.066,0.0638,0.8464,0.315,44.1628
"2007_002344_NES-pi_(0.1,20,0.001).png",0.6227,0.8508,24.8858,0.3416,0.9681,0.9077,0.1043,0.1016,0.7005,0.3686,79.3935
"2007_002344_NES-pi_(0.2,20,0.001).png",0.8316,0.9469,32.2246,0.5593,0.9897,0.9683,0.0442,0.0433,0.8741,0.2804,26.5913
"2007_002344_NES-pi_(0.3,20,0.001).png",0.6096,0.8541,24.3464,0.3389,0.9663,0.906,0.1033,0.1012,0.6885,0.3684,75.2654
"2007_002344_NES-ql_(0.001,0.05,0.9,10000).png",0.8361,0.9484,32.4782,0.5633,0.9899,0.9695,0.0427,0.042,0.8783,0.2785,25.4903
"2007_002344_NES-ql_(0.001,0.1,0.9,1000).png",0.5489,0.8202,25.3506,0.2965,0.9557,0.8847,0.1289,0.1234,0.6508,0.3983,65.1839
"2007_002344_NES-ql_(1e-05,0.05,0.9,1000).png",0.7891,0.9314,31.0437,0.5083,0.9861,0.9592,0.0562,0.0547,0.841,0.3016,31.7159
"2007_002400_NES-pi_(0.1,20,0.001).png",0.5902,0.8302,26.092,0.3175,0.9628,0.9081,0.121,0.1146,0.6738,0.3845,63.5475
