file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2011_000901_GAP_(i, u, 10).png",0.7221496,0.94578874,29.723602,0.44657588,0.9991882,0.9964263,0.012353974,0.06149866,0.7866783,0.16979183
"2011_000901_GAP_(i, u, 20).png",0.49485344,0.8711277,24.051104,0.29349044,0.99734515,0.9906868,0.025576783,0.095203236,0.65159947,0.22691737
"2011_000901_GAP_(i, u, 30).png",0.39871448,0.84673774,20.87704,0.2548942,0.98495597,0.9766543,0.024570782,0.099002995,0.62230396,0.3225838
"2011_000901_GAP_(i, u, 5).png",0.8822136,0.98712075,35.262905,0.58874536,0.9998997,0.99967206,0.0010835768,0.010141962,0.9976982,0.091591395
"2011_000901_GAP_(u, t, 10).png",0.82147074,0.9485282,31.292244,0.48274744,0.99073577,0.9542403,0.070735306,0.07175757,0.82418245,0.31615078
"2011_000901_GAP_(u, t, 20).png",0.5975652,0.8423633,24.630833,0.25790858,0.9595159,0.8523584,0.18023714,0.17747992,0.58281237,0.4442319
"2011_000901_GAP_(u, t, 30).png",0.48366827,0.7907634,21.582561,0.1992128,0.9521005,0.80796707,0.21459831,0.21006632,0.49647355,0.48313808
"2011_000901_GAP_(u, t, 5).png",0.9385235,0.9859657,36.91406,0.7048552,0.9974904,0.9877335,0.021378202,0.022866344,0.947727,0.22121066
"2011_000919_GAP_(i, u, 10).png",0.7385138,0.9457893,29.542799,0.42217132,0.99935687,0.99619275,0.016794955,0.06000815,0.7858099,0.17480764
"2011_000919_GAP_(i, u, 20).png",0.5051146,0.8778653,23.874483,0.27422726,0.99792284,0.9889972,0.027772894,0.090168364,0.66809,0.23463537
"2011_000919_GAP_(i, u, 30).png",0.40556365,0.8401315,20.519852,0.24654573,0.98355705,0.9773412,0.018545112,0.0856588,0.62811524,0.35214382
"2011_000919_GAP_(i, u, 5).png",0.89558446,0.9879128,35.151623,0.5786871,0.9999593,0.99981934,0.00059015857,0.009023816,0.9979019,0.079096965
"2011_000919_GAP_(u, t, 10).png",0.8381015,0.9444789,31.096054,0.46522352,0.98891133,0.961591,0.06683589,0.06788909,0.8164027,0.31012252
"2011_000919_GAP_(u, t, 20).png",0.6120213,0.82470334,24.386341,0.23628491,0.95116657,0.86914307,0.17414805,0.17344108,0.5642684,0.4374236
"2011_000919_GAP_(u, t, 30).png",0.48817438,0.7649304,21.316944,0.17755029,0.93968976,0.82784504,0.20508274,0.20432052,0.47319427,0.4744645
"2011_000919_GAP_(u, t, 5).png",0.94763243,0.98520106,36.73505,0.6965829,0.99701226,0.989983,0.019948468,0.021315102,0.94527894,0.21761477
"2011_000983_GAP_(i, u, 10).png",0.6065849,0.91395676,29.57164,0.3088802,0.99919915,0.9958807,0.01613737,0.06310995,0.7570501,0.18362239
"2011_000983_GAP_(i, u, 20).png",0.32453063,0.7854632,23.726871,0.18382654,0.9984712,0.99373096,0.020992959,0.08971296,0.6076877,0.20926502
"2011_000983_GAP_(i, u, 30).png",0.22888118,0.76311034,20.70482,0.15077908,0.9931633,0.9878112,0.015451904,0.08963017,0.6325916,0.27565712
"2011_000983_GAP_(i, u, 5).png",0.82932794,0.97964925,35.093243,0.44937614,0.99997514,0.99993384,0.00038341922,0.011001444,0.9989372,0.068276905
"2011_000983_GAP_(u, t, 10).png",0.7419378,0.90233135,31.083715,0.33932823,0.9834235,0.93194985,0.09642954,0.095699765,0.7596756,0.3577437
"2011_000983_GAP_(u, t, 20).png",0.45714658,0.7280625,24.366076,0.14260103,0.9340717,0.79156625,0.2126929,0.20960689,0.49267057,0.4885394
"2011_000983_GAP_(u, t, 30).png",0.33011076,0.6530717,21.290245,0.10426191,0.918062,0.737836,0.24685316,0.24234167,0.40930164,0.5320058
"2011_000983_GAP_(u, t, 5).png",0.91123915,0.97230834,36.72738,0.58541673,0.99561524,0.9824002,0.03256908,0.033517964,0.9287422,0.25150093
"2011_001004_GAP_(i, u, 10).png",0.63649935,0.9186055,29.65668,0.36933598,0.9991975,0.9966,0.011331943,0.06447003,0.7891634,0.16311248
"2011_001004_GAP_(i, u, 20).png",0.37878436,0.8085293,23.782175,0.23445268,0.9976424,0.9892255,0.029380355,0.092350855,0.64240515,0.24314258
"2011_001004_GAP_(i, u, 30).png",0.30829787,0.8146868,20.353987,0.21915172,0.9767523,0.96721077,0.016029784,0.08587709,0.55276114,0.39466825
"2011_001004_GAP_(i, u, 5).png",0.83917475,0.98053426,35.110905,0.5082448,0.99990135,0.99972147,0.0007768403,0.010533164,0.9970708,0.08266912
"2011_001004_GAP_(u, t, 10).png",0.7608411,0.91385937,31.155624,0.40219703,0.9858163,0.9401779,0.08660045,0.08665216,0.8046483,0.3434646
"2011_001004_GAP_(u, t, 20).png",0.498038,0.7578666,24.482897,0.20201626,0.9389714,0.8099758,0.20587233,0.20397092,0.5383967,0.47900766
"2011_001004_GAP_(u, t, 30).png",0.3793924,0.697324,21.448322,0.15341583,0.92850965,0.75943947,0.23729494,0.23400234,0.450027,0.5185272
"2011_001004_GAP_(u, t, 5).png",0.91798985,0.975489,36.78739,0.6345185,0.9963317,0.9838944,0.027427498,0.028649556,0.94197077,0.23895155
"2011_001016_GAP_(i, u, 10).png",0.66190064,0.95477074,30.250385,0.43542296,0.99903226,0.99545634,0.013174681,0.04740394,0.8126993,0.18180893
"2011_001016_GAP_(i, u, 20).png",0.41970128,0.8607074,24.43037,0.2876321,0.99627715,0.9797588,0.04068771,0.0845462,0.6938902,0.2617835
"2011_001016_GAP_(i, u, 30).png",0.3319352,0.8508779,20.690998,0.26815516,0.98019993,0.94701034,0.051453345,0.089277335,0.54382426,0.37110904
"2011_001016_GAP_(i, u, 5).png",0.82961625,0.9897059,35.631935,0.5951311,0.9998232,0.9989024,0.0033068173,0.007510664,0.99652714,0.12722532
"2011_001016_GAP_(u, t, 10).png",0.74895906,0.95669675,31.68484,0.49066272,0.99178797,0.96715575,0.04902234,0.05104902,0.86514485,0.28612527
"2011_001016_GAP_(u, t, 20).png",0.51424956,0.854125,24.973896,0.25327343,0.9663151,0.88993764,0.13240498,0.1339673,0.6465943,0.3979159
"2011_001016_GAP_(u, t, 30).png",0.39862627,0.79610014,21.870102,0.194476,0.95646954,0.8499239,0.1647201,0.16718869,0.55613756,0.43679568
"2011_001016_GAP_(u, t, 5).png",0.86833453,0.9879858,37.119442,0.71622026,0.99762154,0.99089456,0.015043985,0.016486922,0.96010405,0.20492473
"2011_001034_GAP_(i, u, 10).png",0.7841648,0.9627661,29.666197,0.45098564,0.9994703,0.9973374,0.010411162,0.048901167,0.804902,0.1586961
"2011_001034_GAP_(i, u, 20).png",0.5402839,0.90051067,24.008667,0.29901916,0.99852234,0.99372864,0.017711282,0.078309074,0.69767743,0.20401199
"2011_001034_GAP_(i, u, 30).png",0.4279318,0.86583805,20.600023,0.26814657,0.9802332,0.9766885,0.016522927,0.07735523,0.697014,0.33118102
"2011_001034_GAP_(i, u, 5).png",0.9206599,0.9921298,35.22016,0.6107582,0.9999585,0.99983674,0.00056754623,0.007599321,0.9977914,0.07939837
"2011_001034_GAP_(u, t, 10).png",0.868274,0.9638879,31.091991,0.4973679,0.9909609,0.9689692,0.04932672,0.052393846,0.8547657,0.2792206
"2011_001034_GAP_(u, t, 20).png",0.6462294,0.86893225,24.380056,0.2550345,0.9620694,0.8947518,0.13546026,0.13987802,0.64269525,0.39015788
"2011_001034_GAP_(u, t, 30).png",0.5100013,0.8134321,21.302204,0.18978369,0.9519491,0.8592588,0.1642749,0.16867428,0.56257045,0.42401597
"2011_001034_GAP_(u, t, 5).png",0.9602152,0.9909686,36.73221,0.72455025,0.99753803,0.9917631,0.015455699,0.01694179,0.9562859,0.20044741
"2011_001106_GAP_(i, u, 10).png",0.573235,0.8966667,29.469246,0.27751777,0.99918294,0.9980769,0.008259239,0.061006814,0.76025695,0.14755313
"2011_001106_GAP_(i, u, 20).png",0.3049636,0.8030667,23.655418,0.18177857,0.9970713,0.98507124,0.027265048,0.083807774,0.6562772,0.2480399
"2011_001106_GAP_(i, u, 30).png",0.22243586,0.73028034,20.19075,0.1620764,0.98153794,0.9590831,0.02546869,0.08956761,0.5250559,0.3683713
"2011_001106_GAP_(i, u, 5).png",0.81355906,0.97632825,35.10193,0.4211653,0.999962,0.99985117,0.0007113171,0.010387507,0.99855417,0.08052678
"2011_001106_GAP_(u, t, 10).png",0.7178755,0.88276166,31.09211,0.3166921,0.98531365,0.92601556,0.094002105,0.09334464,0.7741944,0.35644585
"2011_001106_GAP_(u, t, 20).png",0.4257465,0.6834438,24.408419,0.14239751,0.93338776,0.7715768,0.21570028,0.21156086,0.48153237,0.4916928
"2011_001106_GAP_(u, t, 30).png",0.3040831,0.609791,21.361313,0.10797194,0.9204769,0.7154139,0.24685237,0.24180411,0.39591023,0.53232014
"2011_001106_GAP_(u, t, 5).png",0.9020581,0.96718234,36.730698,0.5470488,0.99627984,0.98003244,0.02974568,0.030657446,0.9346167,0.24685602
"2011_001111_GAP_(i, u, 10).png",0.6576144,0.9219882,29.484573,0.34998128,0.99935824,0.99704844,0.013100451,0.06416175,0.76033604,0.16294877
"2011_001111_GAP_(i, u, 20).png",0.39802393,0.82165575,23.720348,0.21390325,0.9970741,0.9871039,0.03558773,0.09505085,0.63741577,0.24408066
"2011_001111_GAP_(i, u, 30).png",0.30220497,0.79141986,20.294598,0.19103526,0.98069113,0.96934724,0.022258874,0.087675124,0.5948661,0.3626863
"2011_001111_GAP_(i, u, 5).png",0.85529137,0.9822353,35.098015,0.5006522,0.999967,0.9998664,0.0005622888,0.010279058,0.9977817,0.07553866
"2011_001111_GAP_(u, t, 10).png",0.77784365,0.91099143,31.092041,0.39036292,0.9864107,0.94033736,0.088996165,0.08844261,0.7771155,0.3450245
"2011_001111_GAP_(u, t, 20).png",0.52071655,0.7480316,24.400969,0.18195774,0.9429182,0.8129726,0.20575279,0.2027353,0.49020904,0.47693855
"2011_001111_GAP_(u, t, 30).png",0.3945942,0.6812541,21.359665,0.13274516,0.93158376,0.7623774,0.2361881,0.23170489,0.4075578,0.51298785
"2011_001111_GAP_(u, t, 5).png",0.9243578,0.97520626,36.730595,0.62783736,0.9966242,0.9844273,0.027608592,0.02862928,0.93598586,0.23776492
"2011_001138_GAP_(i, u, 10).png",0.7479846,0.94790494,29.41621,0.45360652,0.99967325,0.9991784,0.0032952228,0.06310008,0.80436003,0.122853875
"2011_001138_GAP_(i, u, 20).png",0.5422801,0.88978857,23.820917,0.31248507,0.99804056,0.9935491,0.02018496,0.094989486,0.6872049,0.20882756
"2011_001138_GAP_(i, u, 30).png",0.44132504,0.8506252,20.626032,0.27426255,0.98431385,0.9766693,0.015954146,0.10040212,0.6747323,0.3293685
"2011_001138_GAP_(i, u, 5).png",0.90418756,0.98927426,35.459915,0.6216284,0.99994904,0.9997848,0.0006852823,0.009628535,0.99840266,0.08621867
"2011_001138_GAP_(u, t, 10).png",0.84554243,0.950045,31.19519,0.5081684,0.9885524,0.96331066,0.070299976,0.071082115,0.85195017,0.31516317
"2011_001138_GAP_(u, t, 20).png",0.64370346,0.8446665,24.511654,0.28367662,0.95255905,0.8831319,0.1776476,0.17578284,0.6294042,0.439913
