file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2007_000250_Square_(2000, 0.005, 0.02).png",0.82351875,0.9506625,34.164623,0.5179706,0.9952462,0.97475964,0.038800832,0.040806334,0.89450395,0.26436374
"2007_000250_Square_(2000, 0.005, 0.03).png",0.66644084,0.8925883,30.087776,0.36783576,0.98781615,0.942457,0.083723426,0.08488305,0.7783266,0.3376276
"2007_000250_Square_(2000, 0.01, 0.01).png",0.9311632,0.9802798,38.59721,0.7024491,0.9983368,0.99011207,0.014770035,0.016040878,0.9592688,0.20149474
"2007_000250_Square_(2000, 0.01, 0.02).png",0.82351875,0.9506625,34.164623,0.5179706,0.9952462,0.97475964,0.038800832,0.040806334,0.89450395,0.26436374
"2007_000250_Square_(2000, 0.01, 0.03).png",0.66644084,0.8925883,30.087776,0.36783576,0.98781615,0.942457,0.083723426,0.08488305,0.7783266,0.3376276
"2007_000250_Square_(2000, 0.04, 0.01).png",0.93943536,0.98169935,38.59634,0.73557764,0.9984719,0.9908676,0.014246651,0.015662126,0.9601957,0.19777532
"2007_000250_Square_(2000, 0.04, 0.02).png",0.82351875,0.9506625,34.164623,0.5179706,0.9952462,0.97475964,0.038800832,0.040806334,0.89450395,0.26436374
"2007_000250_Square_(2000, 0.04, 0.03).png",0.66644084,0.8925883,30.087776,0.36783576,0.98781615,0.942457,0.083723426,0.08488305,0.7783266,0.3376276
"2007_000250_Square_(2000, 0.08, 0.01).png",0.9425572,0.98270196,38.597206,0.757698,0.9985414,0.99092144,0.014505962,0.015965227,0.96071887,0.1982553
"2007_000250_Square_(2000, 0.08, 0.02).png",0.82351875,0.9506625,34.164623,0.5179706,0.9952462,0.97475964,0.038800832,0.040806334,0.89450395,0.26436374
"2007_000250_Square_(2000, 0.08, 0.03).png",0.66644084,0.8925883,30.087778,0.36783576,0.98781615,0.942457,0.083723426,0.08488306,0.7783266,0.3376276
"2007_000250_Square_(2000, 0.4, 0.03).png",0.66644084,0.8925883,30.087778,0.36783576,0.98781615,0.942457,0.083723426,0.08488306,0.7783266,0.3376276
"2007_000250_Square_(2000, 0.4, 0.06).png",0.4163284,0.75260043,24.642582,0.20815513,0.9603506,0.85514146,0.17853908,0.17527635,0.5586609,0.4487781
"2007_000250_Square_(2000, 0.4, 0.09).png",0.27308628,0.62508714,20.951954,0.13123472,0.92320377,0.7630139,0.24761316,0.24203359,0.413324,0.5289768
"2007_000250_Square_(2000, 0.4, 0.12).png",0.19504651,0.5300656,18.382914,0.0915671,0.8872024,0.6904531,0.2878629,0.28211784,0.32871622,0.58909863
"2007_000250_Square_(2000, 0.6, 0.03).png",0.66644084,0.8925883,30.087778,0.36783576,0.98781615,0.942457,0.083723426,0.08488306,0.7783266,0.3376276
"2007_000250_Square_(2000, 0.8, 0.03).png",0.66644084,0.8925883,30.087778,0.36783576,0.98781615,0.942457,0.083723426,0.08488306,0.7783266,0.3376276
"2007_000346_Square_(2000, 0.005, 0.01).png",0.94029117,0.9865154,38.599773,0.7675834,0.9983593,0.9944182,0.013256984,0.013719478,0.96460474,0.18902348
"2007_000346_Square_(2000, 0.005, 0.02).png",0.85605735,0.9650389,34.16732,0.6135033,0.9954663,0.98509556,0.032807965,0.033839043,0.91356695,0.24299662
"2007_000346_Square_(2000, 0.005, 0.03).png",0.7178992,0.92200863,30.092009,0.46090576,0.9886372,0.96491784,0.06825669,0.069503784,0.82150114,0.30547056
"2007_000346_Square_(2000, 0.01, 0.01).png",0.94029117,0.9865154,38.599773,0.7675834,0.9983593,0.9944182,0.013256984,0.013719478,0.96460474,0.18902348
"2007_000346_Square_(2000, 0.01, 0.02).png",0.85605735,0.9650389,34.16732,0.6135033,0.9954663,0.98509556,0.032807965,0.033839043,0.91356695,0.24299662
"2007_000346_Square_(2000, 0.01, 0.03).png",0.7178992,0.92200863,30.092009,0.46090576,0.9886372,0.96491784,0.06825669,0.069503784,0.82150114,0.30547056
"2007_000346_Square_(2000, 0.04, 0.01).png",0.94029117,0.9865154,38.599773,0.7675834,0.9983593,0.9944182,0.013256984,0.013719478,0.96460474,0.18902348
"2007_000346_Square_(2000, 0.04, 0.02).png",0.85605735,0.9650389,34.16732,0.6135033,0.9954663,0.98509556,0.032807965,0.033839043,0.91356695,0.24299662
"2007_000346_Square_(2000, 0.04, 0.03).png",0.7178992,0.92200863,30.092009,0.46090576,0.9886372,0.96491784,0.06825669,0.069503784,0.82150114,0.30547056
"2007_000346_Square_(2000, 0.08, 0.01).png",0.94029117,0.9865154,38.599773,0.7675834,0.9983593,0.9944182,0.013256984,0.013719478,0.96460474,0.18902348
"2007_000346_Square_(2000, 0.08, 0.02).png",0.8560573,0.9650389,34.16732,0.6135033,0.9954663,0.98509556,0.032807965,0.033839047,0.91356695,0.24299662
"2007_000346_Square_(2000, 0.08, 0.03).png",0.7178992,0.92200863,30.092009,0.4609058,0.9886372,0.96491784,0.06825669,0.069503784,0.82150114,0.30547056
"2007_000346_Square_(2000, 0.4, 0.03).png",0.7178992,0.92200863,30.092009,0.4609058,0.9886372,0.96491784,0.06825669,0.069503784,0.82150114,0.30547056
"2007_000346_Square_(2000, 0.4, 0.06).png",0.47465324,0.8102875,24.655125,0.27941704,0.9642997,0.90641487,0.14556976,0.14466347,0.62817985,0.4045999
"2007_000346_Square_(2000, 0.4, 0.09).png",0.32077953,0.69941604,20.98027,0.18456832,0.9303277,0.8388195,0.20624667,0.20333447,0.48116738,0.4769504
"2007_000346_Square_(2000, 0.4, 0.12).png",0.23250888,0.6113879,18.426779,0.13334472,0.8973181,0.778625,0.24529977,0.24160518,0.39068067,0.53389263
"2007_000346_Square_(2000, 0.6, 0.03).png",0.7178992,0.92200863,30.092009,0.4609058,0.9886372,0.96491784,0.06825669,0.069503784,0.82150114,0.30547056
"2007_000346_Square_(2000, 0.8, 0.03).png",0.7178992,0.92200863,30.092009,0.4609058,0.9886372,0.96491784,0.06825669,0.069503784,0.82150114,0.30547056
"2007_000549_Square_(2000, 0.005, 0.01).png",0.9402005,0.9851792,38.611034,0.765142,0.9984477,0.9940402,0.013439779,0.0141162835,0.9692664,0.19363673
"2007_000549_Square_(2000, 0.005, 0.02).png",0.85928476,0.96229905,34.206562,0.6111035,0.99574935,0.98438823,0.033478264,0.03467335,0.92017686,0.24928856
"2007_000549_Square_(2000, 0.005, 0.03).png",0.72887146,0.91870785,30.181868,0.45584896,0.98948336,0.9634578,0.07012747,0.070888184,0.82749134,0.31286636
"2007_000549_Square_(2000, 0.01, 0.01).png",0.9409005,0.9853482,38.61103,0.768178,0.99846184,0.99416214,0.013114253,0.013834313,0.96949726,0.1921194
"2007_000549_Square_(2000, 0.01, 0.02).png",0.85980725,0.9626052,34.20588,0.61620706,0.9957668,0.98448765,0.03305612,0.034290075,0.9208019,0.24815932
"2007_000549_Square_(2000, 0.01, 0.03).png",0.72887146,0.91870785,30.181868,0.45584896,0.98948336,0.9634578,0.07012747,0.070888184,0.82749134,0.31286636
"2007_000549_Square_(2000, 0.04, 0.01).png",0.94466394,0.9862606,38.6104,0.7965065,0.9985113,0.99454683,0.012845086,0.01357712,0.9704904,0.18966582
"2007_000549_Square_(2000, 0.04, 0.02).png",0.86225164,0.96322817,34.20751,0.6364186,0.9957394,0.9849577,0.03332123,0.03451246,0.9196194,0.24741867
"2007_000549_Square_(2000, 0.04, 0.03).png",0.72887146,0.91870785,30.181868,0.45584896,0.98948336,0.9634578,0.07012747,0.070888184,0.82749134,0.31286636
"2007_000549_Square_(2000, 0.08, 0.01).png",0.9429332,0.9857213,38.610962,0.7798807,0.9984968,0.9943782,0.013144111,0.01381482,0.96868473,0.19098395
"2007_000549_Square_(2000, 0.08, 0.02).png",0.8687763,0.96428,34.207626,0.66735923,0.99593186,0.98564804,0.03269149,0.033932935,0.9191954,0.24448378
"2007_000549_Square_(2000, 0.08, 0.03).png",0.7288715,0.91870785,30.181868,0.45584896,0.98948336,0.9634578,0.07012747,0.070888184,0.82749134,0.31286636
"2007_000549_Square_(2000, 0.4, 0.03).png",0.7288715,0.91870785,30.181868,0.45584896,0.98948336,0.9634578,0.07012747,0.070888184,0.82749134,0.31286636
"2007_000549_Square_(2000, 0.4, 0.06).png",0.5054728,0.80959666,24.84732,0.27283403,0.96799743,0.9025236,0.14387007,0.1421924,0.63309354,0.4062466
"2007_000549_Square_(2000, 0.4, 0.09).png",0.3526573,0.6966251,21.227917,0.17471415,0.9374865,0.83075476,0.20349061,0.19964151,0.48355663,0.47714025
"2007_000549_Square_(2000, 0.4, 0.12).png",0.25746232,0.6009407,18.711145,0.12161153,0.9078541,0.77063495,0.24335217,0.23844393,0.39479482,0.53282183
"2007_000549_Square_(2000, 0.6, 0.03).png",0.7288715,0.91870785,30.181868,0.45584896,0.98948336,0.9634578,0.07012747,0.070888184,0.82749134,0.31286636
"2007_000549_Square_(2000, 0.8, 0.03).png",0.7288715,0.91870785,30.181868,0.45584896,0.98948336,0.9634578,0.07012747,0.070888184,0.82749134,0.31286636
"2007_000876_Square_(2000, 0.005, 0.01).png",0.9355285,0.98958194,38.7019,0.7876094,0.99842864,0.9938908,0.011429724,0.012558808,0.9696233,0.18726441
"2007_000876_Square_(2000, 0.005, 0.02).png",0.8518038,0.97332597,34.29047,0.63670075,0.9959211,0.9844949,0.027831638,0.030203389,0.92388666,0.23794776
"2007_000876_Square_(2000, 0.005, 0.03).png",0.71574086,0.9398059,30.227844,0.47950298,0.9901754,0.96539986,0.056754205,0.06089428,0.8434029,0.29258072
"2007_000876_Square_(2000, 0.01, 0.01).png",0.93844265,0.98973644,38.69921,0.7989714,0.9984588,0.993986,0.011417113,0.012521448,0.9699827,0.18639377
"2007_000876_Square_(2000, 0.01, 0.02).png",0.85654825,0.9739322,34.27973,0.6500143,0.9960525,0.9848219,0.027538775,0.029871112,0.92357457,0.23700538
"2007_000876_Square_(2000, 0.01, 0.03).png",0.72394884,0.9414321,30.230333,0.49174473,0.99038064,0.96613896,0.056600116,0.060675193,0.84473294,0.29174712
"2007_000876_Square_(2000, 0.04, 0.01).png",0.9426607,0.99093616,38.667843,0.8325358,0.9986402,0.9948473,0.010510557,0.011681529,0.97048324,0.18071155
"2007_000876_Square_(2000, 0.04, 0.02).png",0.87815297,0.9774705,34.274055,0.7093833,0.9963023,0.986814,0.0257141,0.028414454,0.92530435,0.23011814
"2007_000876_Square_(2000, 0.04, 0.03).png",0.7390319,0.9458214,30.201187,0.53403735,0.9905919,0.9679822,0.05556874,0.05993053,0.8474339,0.2892777
"2007_000876_Square_(2000, 0.08, 0.01).png",0.9508687,0.9924816,38.65337,0.8754006,0.99876964,0.99573976,0.009648684,0.010600815,0.9708974,0.17457636
"2007_000876_Square_(2000, 0.08, 0.02).png",0.8973849,0.98104405,34.277,0.7820212,0.99644446,0.98917294,0.022847887,0.025322286,0.9227966,0.21981509
"2007_000876_Square_(2000, 0.08, 0.03).png",0.7833495,0.9542761,30.228033,0.61160034,0.9920687,0.9727631,0.051338185,0.055652473,0.8478373,0.27797887
"2007_000876_Square_(2000, 0.4, 0.03).png",0.8406138,0.9649824,30.227333,0.74198544,0.99327016,0.9800661,0.046660777,0.0498413,0.8506996,0.26410034
"2007_000876_Square_(2000, 0.4, 0.06).png",0.65362215,0.9068944,24.823265,0.53472584,0.9791178,0.9390647,0.10665287,0.112193204,0.7233271,0.34866872
"2007_000876_Square_(2000, 0.4, 0.09).png",0.2921722,0.7451767,21.179535,0.17574327,0.940816,0.83977026,0.17666498,0.18093227,0.5626142,0.44269902
"2007_000876_Square_(2000, 0.4, 0.12).png",0.2036773,0.6565094,18.658037,0.12343146,0.9120853,0.77924144,0.21455447,0.21807025,0.47593945,0.49108082
"2007_000876_Square_(2000, 0.6, 0.03).png",0.89327335,0.9696169,30.211967,0.8507938,0.99267685,0.98521864,0.03270023,0.0366133,0.8676673,0.25530863
