file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_002597_OnePixel_(100, 50).png,0.9934405,0.99818385,42.555595,0.96622545,0.99964607,0.99898946,0.014634367,0.014348789,0.9972102,0.1396385
2007_002597_OnePixel_(50, 40).png,0.9961044,0.9987697,44.533524,0.9811326,0.9996832,0.9992898,0.015579471,0.014286531,0.99800473,0.13711374
2007_002824_OnePixel_(10, 40).png,0.99906886,0.99963176,51.795612,0.99335253,0.9999522,0.99968725,0.008015385,0.007441282,0.9991649,0.096766435
2007_002824_OnePixel_(100, 50).png,0.9915186,0.997019,42.06512,0.94572365,0.9995686,0.9986086,0.019455696,0.018439777,0.99434733,0.15626086
2007_002824_OnePixel_(50, 40).png,0.9952931,0.9981289,44.834515,0.9722582,0.99972147,0.9991682,0.016664023,0.015094013,0.99742115,0.14060663
2007_002852_OnePixel_(10, 40).png,0.9994433,0.99982154,52.614017,0.99725276,0.9999453,0.9999688,0.0059534675,0.005388891,0.99956185,0.084583536
2007_002852_OnePixel_(100, 50).png,0.9950123,0.998549,42.572044,0.96809274,0.9996806,0.99915177,0.013708152,0.013557353,0.9968907,0.13658883
2007_002852_OnePixel_(50, 40).png,0.9967272,0.9989163,44.890244,0.9823147,0.9996711,0.99956185,0.011961712,0.011644781,0.9980707,0.1259404
2007_002953_OnePixel_(10, 40).png,0.9991549,0.9997408,50.800316,0.99505574,0.99993306,0.9997708,0.007201895,0.0068256306,0.9996631,0.093719125
2007_002953_OnePixel_(100, 50).png,0.99266183,0.99803066,41.349106,0.9613533,0.9995314,0.9985954,0.018390026,0.017873388,0.99546367,0.15304135
2007_002953_OnePixel_(300, 80).png,0.978539,0.99408305,36.881992,0.8907753,0.99823874,0.99609244,0.033620663,0.032234937,0.98667854,0.201798
2007_002953_OnePixel_(50, 40).png,0.9962293,0.99896824,44.406353,0.9815311,0.99981207,0.9993706,0.0129798725,0.01246326,0.99792325,0.12750845
