file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2011_003121_CW_(30, 0.1, 50).png",0.984634,0.9922866,40.49086,0.8244731,0.9990618,0.9959182,0.007906384,0.008593982,0.9811646,0.17147979
"2011_003121_CW_(30, 0.2, 50).png",0.94708633,0.9732423,35.091446,0.6475143,0.9966271,0.9854574,0.026274158,0.02819578,0.9380572,0.23653817
"2011_003121_CW_(30, 0.3, 50).png",0.8956874,0.94639826,31.694193,0.5268294,0.9926259,0.9699774,0.05055242,0.05287871,0.8807366,0.2849738
"2011_003121_CW_(30, 0.4, 50).png",0.8395474,0.91579556,29.24058,0.4415769,0.98712724,0.9511609,0.07685107,0.07855973,0.8201849,0.32447547
"2011_003121_CW_(30, 0.5, 50).png",0.78446865,0.8842477,27.329132,0.37843615,0.98033565,0.9305186,0.10278272,0.10313081,0.76155627,0.3574642
"2011_003121_CW_(30, 0.6, 50).png",0.7330516,0.8532348,25.767591,0.32977968,0.9725479,0.9088469,0.12704997,0.12573165,0.7073765,0.3856942
"2011_003121_CW_(30, 0.7, 50).png",0.6861577,0.8235011,24.449387,0.29107368,0.96393603,0.88678813,0.14906895,0.1460497,0.659404,0.41023973
"2011_003169_CW_(30, 0.01, 100).png",0.99924415,0.9995534,45.78455,0.99644417,0.9998311,0.99984723,0.00013419121,0.00020289345,0.99833477,0.10344314
"2011_003169_CW_(30, 0.01, 50).png",0.99923366,0.9995474,45.75954,0.99613863,0.9998303,0.99984425,0.00013716819,0.00020329941,0.9983114,0.103467904
"2011_003169_CW_(30, 0.03, 50).png",0.9978504,0.9988201,44.496365,0.9688914,0.99973106,0.99954796,0.00081856333,0.0009378406,0.9964131,0.114016734
"2011_003169_CW_(30, 0.06, 50).png",0.99599546,0.9978344,42.99134,0.93634206,0.9995867,0.9990739,0.0017337656,0.0019717547,0.993418,0.12705843
"2011_003169_CW_(30, 0.1, 50).png",0.99000424,0.9946692,40.343994,0.86281973,0.9991425,0.99770343,0.0047480008,0.0053162216,0.9850437,0.1562404
"2011_003169_CW_(30, 0.2, 50).png",0.9642968,0.9809668,35.43223,0.69998586,0.9972223,0.99185973,0.016685149,0.018129656,0.95075583,0.21382521
"2011_003169_CW_(30, 0.3, 50).png",0.92639667,0.96038276,32.153473,0.5809586,0.99421066,0.9831081,0.03265208,0.034671582,0.90374976,0.25746807
"2011_003169_CW_(30, 0.4, 50).png",0.88131255,0.93520755,29.74386,0.49337092,0.99025273,0.9722027,0.05065896,0.052800983,0.85197,0.2928927
"2011_003169_CW_(30, 0.5, 50).png",0.83349603,0.9075053,27.852318,0.42674252,0.9854106,0.95972276,0.06945644,0.07132979,0.8002875,0.32261884
"2011_003169_CW_(30, 0.6, 50).png",0.7860518,0.8788503,26.299309,0.37448385,0.9797276,0.94613683,0.08835035,0.08956103,0.75124586,0.34834588
"2011_003169_CW_(30, 0.7, 50).png",0.7407573,0.8502584,24.983652,0.33238977,0.9733509,0.9317931,0.10662393,0.10698235,0.7064686,0.37117866
"2011_003176_CW_(30, 0.01, 100).png",0.99973756,0.99984044,54.225964,0.9983887,0.9999813,0.9999619,5.632891e-05,7.288729e-05,0.99950737,0.06658925
"2011_003176_CW_(30, 0.01, 50).png",0.9997139,0.9998264,54.058563,0.9977675,0.9999807,0.9999581,6.0143222e-05,8.29444e-05,0.9994665,0.06661289
"2011_003176_CW_(30, 0.03, 50).png",0.99588555,0.997832,48.281116,0.9332234,0.99984896,0.99887097,0.001832673,0.0018674913,0.9957355,0.12297889
"2011_003176_CW_(30, 0.06, 50).png",0.99034023,0.9949589,44.74549,0.86062217,0.999646,0.9971321,0.0046250797,0.0048050378,0.98945516,0.15378991
"2011_003176_CW_(30, 0.1, 50).png",0.9745619,0.98665947,40.753044,0.743137,0.99907005,0.99256617,0.011478842,0.011872068,0.97415453,0.19522126
"2011_003176_CW_(30, 0.2, 50).png",0.9103721,0.9519959,34.97366,0.5362411,0.9962839,0.9725706,0.03953495,0.039932277,0.9108359,0.2740124
"2011_003176_CW_(30, 0.3, 50).png",0.8272095,0.9046912,31.50508,0.41630235,0.9914787,0.9446909,0.07672073,0.07543562,0.8249647,0.3347117
"2011_003176_CW_(30, 0.4, 50).png",0.7424545,0.85281295,29.031832,0.33994988,0.9849458,0.91377056,0.11477065,0.11081574,0.7363695,0.38257596
"2011_003176_CW_(30, 0.5, 50).png",0.6652567,0.80161494,27.115515,0.28730214,0.9771286,0.88272464,0.14974855,0.14300217,0.6551715,0.42137152
