file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2010_004010_BIM_(0.1, 0.005).png",0.77612686,0.93613183,32.88592,0.4388728,0.9898884,0.9624607,0.06070944,0.06169247,0.8730398,0.30994564
"2010_004010_BIM_(0.1, 0.01).png",0.6642885,0.8926203,30.253685,0.3554762,0.98180795,0.9367821,0.09446566,0.092646055,0.7983091,0.35829368
"2010_004010_BIM_(0.2, 0.01).png",0.52676785,0.82758725,27.252657,0.27154022,0.9675344,0.8959084,0.13943438,0.13330513,0.6930258,0.4129077
"2010_004010_BIM_(0.2, 0.02).png",0.3850231,0.7333311,24.145866,0.19870017,0.938977,0.83081234,0.19990239,0.18602076,0.57559794,0.4784351
"2010_004010_BIM_(0.3, 0.015).png",0.3661859,0.7207293,23.670422,0.18981935,0.93638724,0.82403386,0.20534831,0.1915534,0.5632526,0.48405874
"2010_004010_BIM_(0.3, 0.03).png",0.25827277,0.6188335,20.668686,0.13443956,0.8927041,0.74153155,0.25741184,0.23856767,0.44555348,0.5467079
"2010_004023_BIM_(0.05, 0.0025).png",0.954357,0.9889127,38.43762,0.72673035,0.99794185,0.9920078,0.012072064,0.01354134,0.9636299,0.19183223
"2010_004023_BIM_(0.05, 0.005).png",0.9170426,0.9794397,35.780636,0.6356874,0.9964458,0.98604566,0.020546108,0.023302816,0.9421505,0.22133231
"2010_004023_BIM_(0.1, 0.005).png",0.8595431,0.96355855,33.001057,0.5320618,0.993563,0.9754037,0.035159532,0.0384923,0.9017271,0.25695226
"2010_004023_BIM_(0.1, 0.01).png",0.7801204,0.9378618,30.402327,0.4357376,0.9888602,0.9607413,0.05561701,0.05911668,0.8466243,0.29462206
"2010_004023_BIM_(0.2, 0.01).png",0.66505164,0.89479506,27.4823,0.33218446,0.9800396,0.9337671,0.08755251,0.0896639,0.7652124,0.34051973
"2010_004023_BIM_(0.2, 0.02).png",0.51516044,0.8205127,24.303879,0.23370561,0.9633942,0.8869574,0.13201123,0.13125595,0.65453225,0.3947722
"2010_004023_BIM_(0.3, 0.015).png",0.49311835,0.8088192,23.83939,0.22072078,0.9599886,0.8794295,0.14152278,0.13909903,0.63957006,0.40566766
"2010_004023_BIM_(0.3, 0.03).png",0.34647006,0.7100166,20.817644,0.14592902,0.9310331,0.81227356,0.18836845,0.18240264,0.52720296,0.45959398
"2010_004062_BIM_(0.05, 0.0025).png",0.9451654,0.9876027,37.861362,0.72172797,0.99736047,0.99141175,0.014428035,0.016207967,0.96075404,0.20048973
"2010_004062_BIM_(0.05, 0.005).png",0.90600866,0.9787426,35.608475,0.6507512,0.9957166,0.9864628,0.022585893,0.025336798,0.94106853,0.22657622
"2010_004062_BIM_(0.1, 0.005).png",0.84339,0.962669,32.748142,0.55050725,0.9919831,0.9750623,0.03979059,0.042981457,0.8988967,0.2659817
"2010_004062_BIM_(0.1, 0.01).png",0.7594544,0.9377973,30.307915,0.46798062,0.9864542,0.9604779,0.060320746,0.063496485,0.8568948,0.30175537
"2010_004062_BIM_(0.2, 0.01).png",0.64670914,0.89841384,27.398605,0.3725905,0.97562975,0.9328693,0.09438752,0.09572444,0.77811396,0.3493143
